2022-07-29 01:40:30.710632 | {'source': 'string', 'url': 'string', 'title': 'string', 'description': 'love football'} | {'Business': 0.13108930348704637, 'Entertainment': 0.24038185610891788, 'Health': 0.0410196960300099, 'Music Feeds': 0.008198076250012272, 'Sci/Tech': 0.1356347913150288, 'Software and Developement': 0.02178735522575379, 'Sports': 0.3999214033706704, 'Toons': 0.021967518212560662} | Sports | 777.188
2022-07-29 01:41:04.789983 | {'source': 'string', 'url': 'string', 'title': 'string', 'description': 'stock market crashes'} | {'Business': 0.14945506234308373, 'Entertainment': 0.36379964942656556, 'Health': 0.08175323006758393, 'Music Feeds': 0.007049555024105237, 'Sci/Tech': 0.20174610979362692, 'Software and Developement': 0.0247123676237449, 'Sports': 0.1514273321961882, 'Toons': 0.02005669352510151} | Entertainment | 1159.71
2022-07-29 01:41:29.648773 | {'source': 'string', 'url': 'string', 'title': 'string', 'description': 'S&P 500 index down 30% from all time high'} | {'Business': 0.14945506234308373, 'Entertainment': 0.36379964942656556, 'Health': 0.08175323006758393, 'Music Feeds': 0.007049555024105237, 'Sci/Tech': 0.20174610979362692, 'Software and Developement': 0.0247123676237449, 'Sports': 0.1514273321961882, 'Toons': 0.02005669352510151} | Entertainment | 2339.46
2022-07-29 01:41:53.181860 | {'source': 'string', 'url': 'string', 'title': 'string', 'description': 'linux machine'} | {'Business': 0.13108930348704637, 'Entertainment': 0.24038185610891788, 'Health': 0.0410196960300099, 'Music Feeds': 0.008198076250012272, 'Sci/Tech': 0.1356347913150288, 'Software and Developement': 0.02178735522575379, 'Sports': 0.3999214033706704, 'Toons': 0.021967518212560662} | Sports | 738.248
2022-07-29 01:42:08.835351 | {'source': 'string', 'url': 'string', 'title': 'string', 'description': 'love playing my guitar'} | {'Business': 0.13108930348704637, 'Entertainment': 0.24038185610891788, 'Health': 0.0410196960300099, 'Music Feeds': 0.008198076250012272, 'Sci/Tech': 0.1356347913150288, 'Software and Developement': 0.02178735522575379, 'Sports': 0.3999214033706704, 'Toons': 0.021967518212560662} | Sports | 1242.7060000000001
2022-07-29 13:18:54.141431 | {'source': 'BBC Technology', 'url': 'http://news.bbc.co.uk/go/click/rss/0.91/public/-/2/hi/business/4144939.stm', 'title': 'System gremlins resolved at HSBC', 'description': 'Computer glitches which led to chaos for HSBC customers on Monday are fixed, the High Street bank confirms.'} | {'Business': 0.2184542799310021, 'Entertainment': 0.27335427947650376, 'Health': 0.059910475928975755, 'Music Feeds': 0.007828048441437991, 'Sci/Tech': 0.30511741392374603, 'Software and Developement': 0.019976848339022548, 'Sports': 0.10161081358415491, 'Toons': 0.013747840375156995} | Sci/Tech | 5318.2609999999995
2022-07-29 13:19:00.875862 | {'source': 'El Mundo', 'url': 'http://www.elmundo.es/ciencia/ciencia-y-salud/2016-01-04/un-cientifico-descubrio-que-el-hombre-no-es-un-bebe.html', 'title': 'Un científico descubrió que el hombre no es un bebé', 'description': 'El científico de la Universidad de Stanford, Eric W. Weis, ha descubierto que el hombre no es un bebé.'} | {'Business': 0.16149437284670226, 'Entertainment': 0.2368631144421268, 'Health': 0.08248952423862607, 'Music Feeds': 0.00886585211084934, 'Sci/Tech': 0.3528330232342385, 'Software and Developement': 0.02501301540652372, 'Sports': 0.11289767135686979, 'Toons': 0.01954342636406341} | Sci/Tech | 5633.784000000001
2022-07-29 13:19:08.027860 | {'source': 'New York Times', 'url': '', 'title': 'Weis chooses not to make pickoff', 'description': 'This is a text with non-ASCII characters 日本人 中國的 ~=[]()%+@;’#!$_&- éè ;∞¥₤€. We hopè you find it inform@tiv€'} | {'Business': 0.16220232197959325, 'Entertainment': 0.3244577725857607, 'Health': 0.04300250369599474, 'Music Feeds': 0.008064348737308527, 'Sci/Tech': 0.27911972256357764, 'Software and Developement': 0.02386989544286216, 'Sports': 0.13936835330181513, 'Toons': 0.019915081693087814} | Entertainment | 6202.188999999999
2022-07-29 13:21:25.885669 | {'source': 'BBC Technology', 'url': 'http://news.bbc.co.uk/go/click/rss/0.91/public/-/2/hi/business/4144939.stm', 'title': 'System gremlins resolved at HSBC', 'description': 'Computer glitches which led to chaos for HSBC customers on Monday are fixed, the High Street bank confirms.'} | {'Business': 0.2184542799310021, 'Entertainment': 0.27335427947650376, 'Health': 0.059910475928975755, 'Music Feeds': 0.007828048441437991, 'Sci/Tech': 0.30511741392374603, 'Software and Developement': 0.019976848339022548, 'Sports': 0.10161081358415491, 'Toons': 0.013747840375156995} | Sci/Tech | 5780.545
2022-07-29 13:21:32.743852 | {'source': 'El Mundo', 'url': 'http://www.elmundo.es/ciencia/ciencia-y-salud/2016-01-04/un-cientifico-descubrio-que-el-hombre-no-es-un-bebe.html', 'title': 'Un científico descubrió que el hombre no es un bebé', 'description': 'El científico de la Universidad de Stanford, Eric W. Weis, ha descubierto que el hombre no es un bebé.'} | {'Business': 0.16149437284670226, 'Entertainment': 0.2368631144421268, 'Health': 0.08248952423862607, 'Music Feeds': 0.00886585211084934, 'Sci/Tech': 0.3528330232342385, 'Software and Developement': 0.02501301540652372, 'Sports': 0.11289767135686979, 'Toons': 0.01954342636406341} | Sci/Tech | 5742.37
2022-07-29 13:21:39.658995 | {'source': 'New York Times', 'url': '', 'title': 'Weis chooses not to make pickoff', 'description': 'This is a text with non-ASCII characters 日本人 中國的 ~=[]()%+@;’#!$_&- éè ;∞¥₤€. We hopè you find it inform@tiv€'} | {'Business': 0.16220232197959325, 'Entertainment': 0.3244577725857607, 'Health': 0.04300250369599474, 'Music Feeds': 0.008064348737308527, 'Sci/Tech': 0.27911972256357764, 'Software and Developement': 0.02386989544286216, 'Sports': 0.13936835330181513, 'Toons': 0.019915081693087814} | Entertainment | 5976.986
